Record_Timestamp,Vehicle_Type,Crop_Type,Harvest_Date,Crop_Yield,Storage_Temperature,Storage_Humidity,Fuel_Consumption,Route_Distance,Delivery_Time,Traffic_Level,Temperature,Humidity,Vehicle_Load_Capacity,Vibration_Level,Queue_Time,Weather_Impact,Station_Capacity,Operational_Cost,Energy_Consumption,IoT_Sensor_Reading_Temperature,IoT_Sensor_Reading_Humidity,IoT_Sensor_Reading_Light,Warehouse_Storage_Time,Inventory_Levels,Fuel_Costs,Spoilage_Risk,Efficiency_Ratio,Quality_Maintenance_Ratio,Imputed_Field_Count,Has_Data_Quality_Issue
2018-06-01 00:00:00,Truck,Wheat,2017-01-20,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,35.41879370256031,1.0609442935339872,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,80.8031080615074,0.1,1.0,1.0,22,True
2018-06-01 01:00:00,Motorbike,Corn,2017-05-10,1000.0,18.0,65.0,20.0,100.0,81.40361386483237,5.0,20.0,65.0,1000.0,33.66190466579978,3.3139666096002296,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,259.5428903759496,0.1,1.0,1.0,21,True
2018-06-01 02:00:00,Van,Corn,2017-09-19,1000.0,18.0,65.0,20.0,100.0,344.00816537089605,5.0,20.0,65.0,1000.0,5.0,1.6933539835742413,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,144.2040183831714,0.1,1.0,1.0,22,True
2018-06-01 03:00:00,Truck,Corn,2017-03-19,1000.0,18.0,65.0,20.0,100.0,1027.1480008322994,5.0,20.0,65.0,1000.0,5.0,7.254488488424327,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,851.0837189593934,0.1,1.0,1.0,22,True
2018-06-01 04:00:00,Truck,Corn,2017-12-11,1000.0,18.0,65.0,20.0,100.0,95.00962076539336,5.0,20.0,65.0,1000.0,25.103768051782748,2.038882901037593,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,3090.519065942601,1000.0,8.101714891616094,0.1,1.0,1.0,20,True
2018-06-01 05:00:00,Truck,Corn,2017-04-12,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,5.0,4.038612590954652,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,86.21277629629078,0.1,1.0,1.0,23,True
2018-06-01 06:00:00,Truck,Corn,2017-02-06,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,55.02931863952335,3.4447058797240064,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,629.9809933467959,0.1,1.0,1.0,22,True
2018-06-01 07:00:00,Van,Wheat,2017-08-08,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,20.314182854061126,3.564435097813921,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,9.099062311752837,0.1,1.0,1.0,22,True
2018-06-01 08:00:00,Truck,Rice,2017-05-02,1000.0,18.0,65.0,20.0,100.0,1501.3350383959946,5.0,20.0,65.0,1000.0,5.0,3.7635909069382256,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,22.886850900468072,0.1,1.0,1.0,22,True
2018-06-01 09:00:00,Van,Rice,2017-07-18,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,5.0,5.66900720979557,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,71.51647448232782,1000.0,49.978329606130806,0.1,1.0,1.0,22,True
2018-06-01 10:00:00,Truck,Corn,2017-11-11,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,5.0,0.8534722442237808,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,100.32910175009155,0.1,1.0,1.0,23,True
2018-06-01 11:00:00,Motorbike,Wheat,2017-11-16,1000.0,27.63303161489396,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,78.60503339691378,3.615370054665999,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,67.40407715154282,0.1,1.0,1.0,21,True
2018-06-01 12:00:00,Van,Wheat,2017-09-30,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,46.792915446195536,6.045546387515491,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,40.64003053630877,0.1,1.0,1.0,22,True
2018-06-01 13:00:00,Truck,Rice,2017-05-07,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,5.0,1.267147783975773,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,38.85679823818764,0.1,1.0,1.0,23,True
2018-06-01 14:00:00,Truck,Rice,2017-06-25,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,68.45153991383447,5.716346351747699,98.55287685922669,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,64.7601594721058,0.1,1.0,1.0,21,True
2018-06-01 15:00:00,Truck,Wheat,2017-11-18,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,5.0,2.231980815326883,13.670354989408311,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,13.712623477883902,0.1,1.0,1.0,22,True
2018-06-01 16:00:00,Truck,Corn,2017-01-12,1000.0,18.0,65.0,20.0,100.0,8.0,5.0,20.0,65.0,1000.0,5.0,4.089142408750021,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,24.347009065005857,0.1,1.0,1.0,23,True
2018-06-01 17:00:00,Truck,Corn,2017-07-27,1000.0,18.0,65.0,20.0,100.0,1580.8348249007474,5.0,20.0,65.0,1000.0,5.0,2.133701020869633,5.0,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,177.48124672580028,0.1,1.0,1.0,22,True
2018-06-01 18:00:00,Truck,Wheat,2017-06-09,1000.0,18.0,65.0,20.0,100.0,29.5810521443173,5.0,20.0,65.0,1000.0,5.0,3.492406330177795,87.98054555111135,50.0,1000.0,100.0,25.0,65.0,500.0,24.0,1000.0,36.29808378348292,0.1,1.0,1.0,21,True
